url,status,final_url,canonical,meta_robots,x_robots_tag,blogposting_jsonld,breadcrumb_jsonld,site_jsonld,in_sitemap,notes
"https://www.fsidigital.ca/guides/california-loan-guarantee-guide",200,"https://www.fsidigital.ca/guides/california-loan-guarantee-guide","https://www.fsidigital.ca/guides/california-loan-guarantee-guide","index, follow","NONE",false,false,true,true,"OK"
"https://www.fsidigital.ca/usa/ohio",200,"https://www.fsidigital.ca/usa/ohio","https://www.fsidigital.ca/usa/ohio","index, follow","NONE",false,false,true,true,"OK"
"https://www.fsidigital.ca/blog/doe-sbir-clean-energy-grants",200,"https://www.fsidigital.ca/blog/doe-sbir-clean-energy-grants","https://www.fsidigital.ca/blog/doe-sbir-clean-energy-grants","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/programs/mb-clean-energy",200,"https://www.fsidigital.ca/programs/mb-clean-energy","https://www.fsidigital.ca/programs/mb-clean-energy","index, follow","NONE",false,false,true,true,"OK"
"https://www.fsidigital.ca/usa/nevada",200,"https://www.fsidigital.ca/usa/nevada","https://www.fsidigital.ca/usa/nevada","index, follow","NONE",false,true,true,true,"OK"
"https://www.fsidigital.ca/blog/small-business-financing-2026",200,"https://www.fsidigital.ca/blog/small-business-financing-2026","https://www.fsidigital.ca/blog/small-business-financing-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/usda-rural-grants-2026",200,"https://www.fsidigital.ca/blog/usda-rural-grants-2026","https://www.fsidigital.ca/blog/usda-rural-grants-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/nasa-sbir-space-tech-grants",200,"https://www.fsidigital.ca/blog/nasa-sbir-space-tech-grants","https://www.fsidigital.ca/blog/nasa-sbir-space-tech-grants","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/download/amber-grant-women-application-guide",200,"https://www.fsidigital.ca/download/amber-grant-women-application-guide","https://www.fsidigital.ca/download/amber-grant-women-application-guide","index, follow","NONE",false,false,true,true,"OK"
"https://www.fsidigital.ca/blog/sba-sbir-grants-2026",200,"https://www.fsidigital.ca/blog/sba-sbir-grants-2026","https://www.fsidigital.ca/blog/sba-sbir-grants-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/atlantic-small-business-grants-guide",200,"https://www.fsidigital.ca/blog/atlantic-small-business-grants-guide","https://www.fsidigital.ca/blog/atlantic-small-business-grants-guide","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/canada-agriculture-agrifood-grants-guide",200,"https://www.fsidigital.ca/blog/canada-agriculture-agrifood-grants-guide","https://www.fsidigital.ca/blog/canada-agriculture-agrifood-grants-guide","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/canada-clean-technology-innovation-grants",200,"https://www.fsidigital.ca/blog/canada-clean-technology-innovation-grants","MISSING","index, follow","NONE",false,false,true,true,"⚠️ CANONICAL MISMATCH: MISSING"
"https://www.fsidigital.ca/usa/washington",200,"https://www.fsidigital.ca/usa/washington","https://www.fsidigital.ca/usa/washington","index, follow","NONE",false,true,true,true,"OK"
"https://www.fsidigital.ca/blog/new-york-business-grants-2026",200,"https://www.fsidigital.ca/blog/new-york-business-grants-2026","https://www.fsidigital.ca/blog/new-york-business-grants-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/canada-agri-food-technology-innovation-grants",200,"https://www.fsidigital.ca/blog/canada-agri-food-technology-innovation-grants","https://www.fsidigital.ca/blog/canada-agri-food-technology-innovation-grants","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/canada-aerospace-defence-innovation-grants",200,"https://www.fsidigital.ca/blog/canada-aerospace-defence-innovation-grants","https://www.fsidigital.ca/blog/canada-aerospace-defence-innovation-grants","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/florida-business-grants-2026",200,"https://www.fsidigital.ca/blog/florida-business-grants-2026","https://www.fsidigital.ca/blog/florida-business-grants-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/canada/nova-scotia",200,"https://www.fsidigital.ca/canada/nova-scotia","https://www.fsidigital.ca/canada/nova-scotia","index, follow","NONE",false,false,true,true,"OK"
"https://www.fsidigital.ca/grants/il/chicago/women-entrepreneurs",200,"https://www.fsidigital.ca/grants/il/chicago/women-entrepreneurs","https://www.fsidigital.ca/grants/il/chicago/women-entrepreneurs","index, follow","NONE",false,true,true,true,"OK"
"https://www.fsidigital.ca/blog/pennsylvania-innovation-2026",200,"https://www.fsidigital.ca/blog/pennsylvania-innovation-2026","https://www.fsidigital.ca/blog/pennsylvania-innovation-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/texas-business-grants-2026",200,"https://www.fsidigital.ca/blog/texas-business-grants-2026","https://www.fsidigital.ca/blog/texas-business-grants-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/manitoba-small-business-grants-guide",200,"https://www.fsidigital.ca/blog/manitoba-small-business-grants-guide","https://www.fsidigital.ca/blog/manitoba-small-business-grants-guide","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/canada-clean-technology-environment-grants-guide",200,"https://www.fsidigital.ca/blog/canada-clean-technology-environment-grants-guide","https://www.fsidigital.ca/blog/canada-clean-technology-environment-grants-guide","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/illinois-business-development-2026",200,"https://www.fsidigital.ca/blog/illinois-business-development-2026","https://www.fsidigital.ca/blog/illinois-business-development-2026","index, follow","NONE",true,true,true,true,"OK"
"https://www.fsidigital.ca/blog/nsf-stem-research-2026-archive",200,"https://www.fsidigital.ca/blog/nsf-stem-research-2026","https://www.fsidigital.ca/blog/nsf-stem-research-2026","index, follow","NONE",true,true,true,false,"⚠️ CANONICAL MISMATCH: https://www.fsidigital.ca/blog/nsf-stem-research-2026"
