# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: FSIDIGITAL
# Property: FSIDIGITAL
# ----------------------------------------
# 
# All Users
# Start date: 20260718
# End date: 20260723
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Direct,93,90,2,6.516483516483516,0.07692307692307693,718,0,0
Organic Search,7,7,0,128.28571428571428,0.8571428571428571,163,0,0
AI Assistant,1,1,0,1,1,8,0,0
Unassigned,1,1,0,83,1,9,0,0
